"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Pagination","3","0","","0"
"0","","0","Products","4","0","","0"
"0","","0","Auth","1","0","Get current user","0"
"0","","0","Search","1","0","","0"
"0","","0","Auth","1","0","Invalid password","0"
"0","","0","Integration","3","0","","0"
"0","","0","Auth","1","0","Check response time","0"
"0","","0","Cart","0","2","","0"
"0","","0","Auth","1","0","Positive login","0"
"0","","0","Auth","1","0","Empty credentials","0"
"0","","0","Integration","1","0","User cart flow","0"
