"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","220","test_products_pagination[10-5]","tests.products","Thu May 14 20:59:41 UTC 2026","passed","Thu May 14 20:59:41 UTC 2026","","test_search_products","",""
"","223","test_get_product_by_invalid_id","tests.products","Thu May 14 20:59:40 UTC 2026","passed","Thu May 14 20:59:40 UTC 2026","","test_product_by_id","",""
"","215","test_get_current_user","tests.auth","Thu May 14 20:59:36 UTC 2026","passed","Thu May 14 20:59:37 UTC 2026","","test_auth_me","",""
"","215","test_search_products","tests.products","Thu May 14 20:59:40 UTC 2026","passed","Thu May 14 20:59:40 UTC 2026","","test_search_products","",""
"","223","test_products_pagination[5-0]","tests.products","Thu May 14 20:59:40 UTC 2026","passed","Thu May 14 20:59:41 UTC 2026","","test_search_products","",""
"","676","test_login_invalid_password","tests.auth","Thu May 14 20:59:37 UTC 2026","passed","Thu May 14 20:59:37 UTC 2026","","test_login_negative","",""
"","219","test_products_pagination[20-10]","tests.products","Thu May 14 20:59:41 UTC 2026","passed","Thu May 14 20:59:41 UTC 2026","","test_search_products","",""
"","79","test_products_validation","tests.products","Thu May 14 20:59:40 UTC 2026","passed","Thu May 14 20:59:40 UTC 2026","","test_products_positive","",""
"","71","test_get_product_by_valid_id","tests.products","Thu May 14 20:59:40 UTC 2026","passed","Thu May 14 20:59:40 UTC 2026","","test_product_by_id","",""
"","72","test_get_products","tests.products","Thu May 14 20:59:40 UTC 2026","passed","Thu May 14 20:59:40 UTC 2026","","test_products_positive","",""
"","229","test_cart_invalid_user","tests.integration","Thu May 14 20:59:39 UTC 2026","passed","Thu May 14 20:59:39 UTC 2026","","test_user_cart_negative","",""
"","228","test_login_response_time","tests.auth","Thu May 14 20:59:38 UTC 2026","passed","Thu May 14 20:59:38 UTC 2026","","test_login_positive","",""
"","0","test_cart_invalid_product","tests.carts","Thu May 14 20:59:38 UTC 2026","skipped","Thu May 14 20:59:38 UTC 2026","","test_cart_positive","",""
"","222","test_success_login","tests.auth","Thu May 14 20:59:37 UTC 2026","passed","Thu May 14 20:59:38 UTC 2026","","test_login_positive","",""
"","217","test_login_empty_credentials","tests.auth","Thu May 14 20:59:37 UTC 2026","passed","Thu May 14 20:59:37 UTC 2026","","test_login_negative","",""
"","217","test_empty_cart","tests.integration","Thu May 14 20:59:39 UTC 2026","passed","Thu May 14 20:59:40 UTC 2026","","test_user_cart_negative","",""
"","0","test_cart_negative_quantity","tests.carts","Thu May 14 20:59:38 UTC 2026","skipped","Thu May 14 20:59:38 UTC 2026","","test_cart_negative","",""
"","960","test_user_cart_flow","tests.integration","Thu May 14 20:59:38 UTC 2026","passed","Thu May 14 20:59:39 UTC 2026","","test_user_cart_flow","",""
"","220","test_cart_invalid_product","tests.integration","Thu May 14 20:59:39 UTC 2026","passed","Thu May 14 20:59:39 UTC 2026","","test_user_cart_negative","",""
